Date,JD(TCB),averagemag
2014-08-12 08:43:22,2456881.86345,null
2014-08-12 10:30:07,2456881.93758,null
2014-08-12 14:43:53,2456882.11381,null
2014-08-12 16:30:04,2456882.18755,null
2014-08-12 20:43:50,2456882.36377,null
2015-01-23 20:14:23,2457046.34332,null
2015-01-24 00:28:06,2457046.51951,null
2015-02-06 00:32:45,2457059.52274,null
2015-02-06 02:19:29,2457059.59686,null
2015-02-06 06:33:13,2457059.77307,null
2015-05-22 02:35:26,2457164.60794,null
2015-05-22 04:22:12,2457164.68208,null
2015-05-22 08:35:58,2457164.85831,null
2015-05-22 10:22:08,2457164.93204,null
2015-06-29 15:48:45,2457203.15885,null
2015-11-13 08:46:52,2457339.86588,null
2015-11-13 10:33:36,2457339.94000,null
2015-11-26 10:40:02,2457352.94447,null
2015-11-26 14:53:46,2457353.12067,null
2015-12-31 02:17:41,2457387.59561,null
2015-12-31 04:03:50,2457387.66933,null
2016-05-18 15:29:18,2457527.14535,null
2016-05-18 17:16:04,2457527.21949,null
2016-06-06 09:35:51,2457545.89990,null
2016-06-06 11:22:01,2457545.97362,null
2016-07-09 17:00:55,2457579.20897,null
2016-07-09 21:14:41,2457579.38520,null
2016-11-20 15:51:44,2457713.16093,null
2016-11-20 17:38:29,2457713.23506,null
2016-12-11 03:50:26,2457733.66002,null
2016-12-11 05:37:10,2457733.73414,null
2017-01-09 09:25:26,2457762.89266,null
2017-01-09 11:11:36,2457762.96639,null
2017-05-28 07:45:19,2457901.82314,null
2017-05-28 11:59:05,2457901.99936,null
2017-06-21 23:57:40,2457926.49838,null
2017-07-20 17:48:30,2457955.24201,null
2017-11-30 06:21:40,2458087.76505,null
2017-11-30 08:07:50,2458087.83877,null
2017-12-25 19:54:03,2458113.32920,null
2018-01-19 11:54:26,2458137.99613,null
2018-06-07 20:55:07,2458277.37161,null
2018-07-31 02:45:39,2458330.61503,null
2018-07-31 06:59:25,2458330.79126,null
2018-12-10 13:29:29,2458463.06214,null
2019-01-09 07:01:56,2458492.79301,null
2019-01-09 08:48:40,2458492.86713,null
2019-01-29 00:59:45,2458512.54149,null
2019-06-18 20:19:18,2458653.34674,null
2019-08-01 22:17:39,2458697.42892,null
2019-08-02 00:03:49,2458697.50265,null
2019-12-20 07:23:23,2458837.80791,null
2020-01-22 02:50:32,2458870.61843,null
2020-01-22 04:36:42,2458870.69215,null
2020-02-06 10:57:12,2458885.95639,null
2020-02-06 15:10:56,2458886.13259,null
2020-02-06 16:57:41,2458886.20672,null
2020-06-20 06:54:25,2459020.78779,null
2020-06-20 08:40:36,2459020.86153,null
2020-07-27 08:44:54,2459057.86451,null
2020-07-27 10:31:04,2459057.93824,null
2020-07-31 12:57:48,2459062.04014,null
2020-07-31 14:44:34,2459062.11428,null
2021-01-10 02:45:27,2459224.61490,null
2021-01-29 06:57:57,2459243.79024,null
2021-01-29 08:44:06,2459243.86396,null
2021-06-19 08:18:14,2459384.84600,null
2021-06-19 10:05:00,2459384.92014,null
2021-07-24 13:56:06,2459420.08063,null
2021-07-24 15:42:16,2459420.15435,null
2021-08-09 15:52:11,2459436.16124,null
2021-08-09 20:05:57,2459436.33747,null
2021-08-09 21:52:43,2459436.41161,null
2021-12-21 08:36:29,2459569.85867,null
2021-12-21 10:23:13,2459569.93279,null
2022-01-25 01:53:49,2459604.57904,null
2022-01-25 03:40:33,2459604.65316,null
2022-02-06 13:59:17,2459617.08284,null
2022-02-06 15:46:01,2459617.15696,null
2022-05-11 17:39:39,2459711.23587,14.61
2022-05-11 21:53:20,2459711.41204,14.60
2022-05-23 16:02:05,2459723.16811,14.85
2022-05-23 17:48:40,2459723.24213,14.86
2022-06-30 11:16:25,2459760.96973,14.67

