specname,phase,bump_phase,v,intf
not0208,279.7,8.794000000320374,455.4310817907564,5.9491281122008975e-15
not0203,274.7,3.7940000003203735,-208.02007659841365,7.03934069329381e-15
binospec0131,270.9,12.394000000040977,-458.23468754923624,9.427229802660933e-15
binospec0121,261.9,3.394000000040977,641.3502019882616,2.3652583693959633e-14
binospec0120,260.9,2.394000000040977,391.21882406458093,2.921380773711099e-14
xsh0121,260.9,2.394000000040977,492.6501246021435,2.3774817428529303e-14
xsh0118,257.9,11.794000000040977,-244.38643619782897,2.964352856546376e-14
xsh0114,253.9,7.7940000000409775,-390.65757855930525,2.5581361462975654e-14
binospec0113,252.9,6.7940000000409775,-105.30448232075729,2.2995208929367465e-14
binospec0112,251.9,5.7940000000409775,208.80648560236295,1.8823750783087408e-14
binospec1227,235.9,2.194000000040978,106.88782598604867,2.7808648075090452e-14
imacs1214,224.0,2.6940000001341105,104.82447664128922,2.7019466227430205e-14
not1125,203.8,7.293999999947847,-440.84519165425553,4.4387413242128264e-14
dbsp1102,180.8,9.093999999947847,-375.60714023178775,5.713298887342886e-14
not1031,179.8,8.093999999947847,-401.0229176262953,6.295737292965112e-14
dbsp1011,159.1,12.194000000227245,-180.98849798461106,6.866052979506674e-14
not0921,139.1,4.594000000227245,-116.45067995174367,6.832217741113354e-14
